date,T_mean,GDD_daily,GDD_cumsum,GDD_after_emerge,light_interception,leaf_area_index,lint_yield,seed_cotton_yield,plant_height,main_stem_nodes,leaf_weight,petiole_weight,stem_weight,root_weight,square_weight,boll_weight,plant_weight,number_of_squares,number_of_green_bolls,number_of_open_bolls,swc0-10,swc0-20,swc0-27,internode_length,single_leaf_area,leaf_length,leaf_width,fruit_branch_number,vegetative_branch_number,boll_diameter,leaf_angle,groimp_day,coupling_source,leaf_area_index_raw,leaf_vis_factor,c2k_sla_m2g,c2k_leaf_area_m2,c2k_sla_target,c2k_ks,c2k_kn,c2k_yield_frozen,c2k_source_sink,c2k_dvs,c2k_shed_fraction_diag,c2k_shed_factor,c2k_net_photo,c2k_gross_photo,c2k_dev_stage,c2k_dev_progress,repro_frozen,bridge_active,bridge_alpha,bridge_bl_gross,leaf_floor_active,leaf_floor_added,net_floor_active,net_floor_added,topping_applied,topping_loss_lf,is_topping_day,doy
2022-04-21,20.6,8.6,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.3,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,-1,pre_emerge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-22,21.05,9.05,17.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.3,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,-1,pre_emerge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-23,19.15,7.15,24.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.3,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,-1,pre_emerge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-24,21.15,9.15,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.3,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,-1,pre_emerge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,22.8,10.8,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.3,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,-1,pre_emerge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-26,19.65,7.65,52.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.3,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,-1,pre_emerge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-27,20.75,8.75,61.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.3,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,-1,pre_emerge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-28,16.65,4.65,65.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.3,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,-1,pre_emerge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-29,14.65,2.65,68.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.3,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,-1,pre_emerge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-30,18.05,6.05,74.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.3,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,-1,pre_emerge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
